State,District,Cases
Andhra Pradesh,East Godavari,2
Andhra Pradesh,Krishna,1
Andhra Pradesh,Nellore,1
Andhra Pradesh,Prakasam,1
Andhra Pradesh,Vizag,2
Bihar,MUNGER,1
Bihar,PATNA,1
Chandigarh,Chandigarh,6
Chhattisgarh,Raipur,1
Delhi,Central,3
Delhi,East Delhi,3
Delhi,North Delhi,3
Delhi,North East,5
Delhi,North West,5
Delhi,South Delhi,3
Delhi,South West,3
Delhi,West Delhi,5
Gujarat,Ahmedabad,13
Gujarat,Gandhinagar,4
Gujarat,Kutch,1
Gujarat,Rajkot,1
Gujarat,Surat,4
Gujarat,Vadodara,6
Haryana,Faridabad,1
Haryana,Gurugram,22
Haryana,Panchkula,1
Haryana,Panipat,1
Haryana,Sonipat,1
Himachal Pradesh,Kangra,3
J & K,Jammu,3
J & K,Srinagar,1
Karnataka,Bengaluru Urban,18
Karnataka,Chikkaballapura,3
Karnataka,Dakshin Kannada,1
Karnataka,Dharwad,1
Karnataka,Kalaburgi,3
Karnataka,Kodagu,1
Karnataka,Mysore,1
Karnataka,Uttar Kannada,2
Kerala,Alappuzha,1
Kerala,Ernakulam,16
Kerala,Idukki,1
Kerala,Kannur,13
Kerala,Kasargod,39
Kerala,Kottayam,2
Kerala,Kozhikode,2
Kerala,Mallapuram,4
Kerala,Pathanamthitta,10
Kerala,Thiruvanthpuram,4
Kerala,Thrissur,3
Ladakh,Kargil,2
Ladakh,Leh,11
Madhya Pradesh,Bhopal,1
Madhya Pradesh,Jabalpur,6
Maharashtra,Ahmednagar,2
Maharashtra,Aurangabad,1
Maharashtra,Mumbai,25
Maharashtra,Mumbai Suburb,5
Maharashtra,Nagpur,4
Maharashtra,Pune,27
Maharashtra,Raigad,1
Maharashtra,Ratnagiri,1
Maharashtra,Thane,4
Maharashtra,Yavatmal,4
Odisha,Khurda,2
Puducherry,Mahe,1
Punjab,Amritsar,1
Punjab,Hoshiarpur,2
Punjab,SAS Nagar,4
Punjab,SBS Nagar,14
Rajasthan,Bhilwara,13
Rajasthan,Jaipur,8
Rajasthan,Jhunjhunu,4
Rajasthan,Jodhpur,3
Rajasthan,Pali,1
Rajasthan,Pratapgarh,2
Rajasthan,sikar,1
Tamil Nadu,Chennai,5
Tamil Nadu,Coimbatoor,1
Tamil Nadu,Erode,2
Tamil Nadu,Kanchipurum,1
Tamil Nadu,Madurai,1
Tamil Nadu,Tiruneveli,1
Tamil Nadu,Tirupur,1
Telangana,Bhadradri Kothagudam,2
Telangana,Hyderabad,21
Telangana,Karimnagar,1
Telangana,Medchal,3
Telangana,Ranga Reddy,4
Telangana,Warangal (U),1
Uttar Pradesh,Agra,8
Uttar Pradesh,GB Nagar,8
Uttar Pradesh,Ghaziabad,3
Uttar Pradesh,Kanpur,1
Uttar Pradesh,Lakhimpur Kheri,1
Uttar Pradesh,Lucknow,8
Uttar Pradesh,Moradabd,1
Uttar Pradesh,Philibhit,1
Uttar Pradesh,Shamli,1
Uttar Pradesh,Varanasi,1
Uttarakhand,Dehradun,3
West Bengal,Kolkata,5
West Bengal,North 24 Pargana,2